Model,F1 Score
TF MONO KNeighborsClassifier,0.7459283387622151
TF MONO MultinomialNB,0.7035830618892508
TF MONO SVC,0.8990228013029317
SQRT TF MONO KNeighborsClassifier,0.8957654723127035
SQRT TF MONO MultinomialNB,0.8827361563517915
SQRT TF MONO SVC,0.9218241042345277
TF EMONO KNeighborsClassifier,0.7231270358306189
TF EMONO MultinomialNB,0.6872964169381107
TF EMONO SVC,0.9022801302931596
SQRT TF EMONO KNeighborsClassifier,0.8306188925081432
SQRT TF EMONO MultinomialNB,0.8859934853420195
SQRT TF EMONO SVC,0.9250814332247557
TF IGM KNeighborsClassifier,0.8794788273615635
TF IGM MultinomialNB,0.9120521172638436
TF IGM SVC,0.9250814332247557
SQRT TF IGM KNeighborsClassifier,0.9153094462540716
SQRT TF IGM MultinomialNB,0.9381107491856677
SQRT TF IGM SVC,0.9381107491856677
