Dataset,Model,F1 Score
BACKGROUND,TF MONO KNeighborsClassifier,0.8273381294964028
BACKGROUND,TF MONO MultinomialNB,0.5251798561151079
BACKGROUND,TF MONO SVC,0.8057553956834532
BACKGROUND,SQRT TF MONO KNeighborsClassifier,0.8489208633093525
BACKGROUND,SQRT TF MONO MultinomialNB,0.5467625899280576
BACKGROUND,SQRT TF MONO SVC,0.8057553956834532
BACKGROUND,TF EMONO KNeighborsClassifier,0.81294964028777
BACKGROUND,TF EMONO MultinomialNB,0.5251798561151079
BACKGROUND,TF EMONO SVC,0.8057553956834532
BACKGROUND,SQRT TF EMONO KNeighborsClassifier,0.8345323741007193
BACKGROUND,SQRT TF EMONO MultinomialNB,0.539568345323741
BACKGROUND,SQRT TF EMONO SVC,0.7985611510791367
BACKGROUND,TF IGM KNeighborsClassifier,0.7266187050359713
BACKGROUND,TF IGM MultinomialNB,0.8201438848920863
BACKGROUND,TF IGM SVC,0.6187050359712231
BACKGROUND,SQRT TF IGM KNeighborsClassifier,0.7482014388489209
BACKGROUND,SQRT TF IGM MultinomialNB,0.9064748201438849
BACKGROUND,SQRT TF IGM SVC,0.6258992805755396
ABSTRACT,TF MONO KNeighborsClassifier,0.8561151079136691
ABSTRACT,TF MONO MultinomialNB,0.5251798561151079
ABSTRACT,TF MONO SVC,0.8705035971223022
ABSTRACT,SQRT TF MONO KNeighborsClassifier,0.8920863309352518
ABSTRACT,SQRT TF MONO MultinomialNB,0.60431654676259
ABSTRACT,SQRT TF MONO SVC,0.8705035971223022
ABSTRACT,TF EMONO KNeighborsClassifier,0.7985611510791367
ABSTRACT,TF EMONO MultinomialNB,0.5251798561151079
ABSTRACT,TF EMONO SVC,0.8561151079136691
ABSTRACT,SQRT TF EMONO KNeighborsClassifier,0.8633093525179856
ABSTRACT,SQRT TF EMONO MultinomialNB,0.539568345323741
ABSTRACT,SQRT TF EMONO SVC,0.8561151079136691
ABSTRACT,TF IGM KNeighborsClassifier,0.7985611510791367
ABSTRACT,TF IGM MultinomialNB,0.8776978417266187
ABSTRACT,TF IGM SVC,0.7913669064748201
ABSTRACT,SQRT TF IGM KNeighborsClassifier,0.8489208633093525
ABSTRACT,SQRT TF IGM MultinomialNB,0.9568345323741008
ABSTRACT,SQRT TF IGM SVC,0.8920863309352518
